song_name,name,song_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Crush (With Melii),Melii,0KdSpbDQyKmVo1OLgRengy,28,0.783,0.724,0,-5.858,1,0.247,0.214,0,0.109,0.257,110.054,audio_features,0KdSpbDQyKmVo1OLgRengy,spotify:track:0KdSpbDQyKmVo1OLgRengy,https://api.spotify.com/v1/tracks/0KdSpbDQyKmVo1OLgRengy,https://api.spotify.com/v1/audio-analysis/0KdSpbDQyKmVo1OLgRengy,210734,3
Romeo & Juliet,Trippie Redd,6jT3etAOkvMUw0zsEw5QnR,15,0.525,0.37,9,-13.933,0,0.0872,0.664,0.086,0.328,0.352,119.708,audio_features,6jT3etAOkvMUw0zsEw5QnR,spotify:track:6jT3etAOkvMUw0zsEw5QnR,https://api.spotify.com/v1/tracks/6jT3etAOkvMUw0zsEw5QnR,https://api.spotify.com/v1/audio-analysis/6jT3etAOkvMUw0zsEw5QnR,208000,4
Riri,Aminé,1VjNQAm7bG3MLIC5Cwb508,51,0.809,0.623,10,-6.152,0,0.0337,0.0455,1.67E-06,0.321,0.535,121.989,audio_features,1VjNQAm7bG3MLIC5Cwb508,spotify:track:1VjNQAm7bG3MLIC5Cwb508,https://api.spotify.com/v1/tracks/1VjNQAm7bG3MLIC5Cwb508,https://api.spotify.com/v1/audio-analysis/1VjNQAm7bG3MLIC5Cwb508,181975,4
Get Outta My Head (ft. XXXTentacion),Lil Wayne,3Fr6yG5mUHUBqmZ1iDbk7C,39,0.547,0.543,5,-8.034,0,0.503,0.199,0,0.129,0.49,101.916,audio_features,3Fr6yG5mUHUBqmZ1iDbk7C,spotify:track:3Fr6yG5mUHUBqmZ1iDbk7C,https://api.spotify.com/v1/tracks/3Fr6yG5mUHUBqmZ1iDbk7C,https://api.spotify.com/v1/audio-analysis/3Fr6yG5mUHUBqmZ1iDbk7C,178480,3
Get Outta My Head (ft. XXXTentacion),XXXTENTACION,3Fr6yG5mUHUBqmZ1iDbk7C,39,0.547,0.543,5,-8.034,0,0.503,0.199,0,0.129,0.49,101.916,audio_features,3Fr6yG5mUHUBqmZ1iDbk7C,spotify:track:3Fr6yG5mUHUBqmZ1iDbk7C,https://api.spotify.com/v1/tracks/3Fr6yG5mUHUBqmZ1iDbk7C,https://api.spotify.com/v1/audio-analysis/3Fr6yG5mUHUBqmZ1iDbk7C,178480,3
History,88rising,4TwVtW8hS5LyLoDtJGpUOg,20,0.554,0.589,3,-8.163,0,0.231,0.613,0.000257,0.0982,0.414,74.982,audio_features,4TwVtW8hS5LyLoDtJGpUOg,spotify:track:4TwVtW8hS5LyLoDtJGpUOg,https://api.spotify.com/v1/tracks/4TwVtW8hS5LyLoDtJGpUOg,https://api.spotify.com/v1/audio-analysis/4TwVtW8hS5LyLoDtJGpUOg,207308,4
History,Rich Brian,4TwVtW8hS5LyLoDtJGpUOg,20,0.554,0.589,3,-8.163,0,0.231,0.613,0.000257,0.0982,0.414,74.982,audio_features,4TwVtW8hS5LyLoDtJGpUOg,spotify:track:4TwVtW8hS5LyLoDtJGpUOg,https://api.spotify.com/v1/tracks/4TwVtW8hS5LyLoDtJGpUOg,https://api.spotify.com/v1/audio-analysis/4TwVtW8hS5LyLoDtJGpUOg,207308,4
One Thing Right,Marshmello,4hPpVbbakQNv8YTHYaOJP4,72,0.659,0.625,4,-2.253,1,0.045,0.0644,0,0.582,0.442,88.042,audio_features,4hPpVbbakQNv8YTHYaOJP4,spotify:track:4hPpVbbakQNv8YTHYaOJP4,https://api.spotify.com/v1/tracks/4hPpVbbakQNv8YTHYaOJP4,https://api.spotify.com/v1/audio-analysis/4hPpVbbakQNv8YTHYaOJP4,181824,4
One Thing Right,Kane Brown,4hPpVbbakQNv8YTHYaOJP4,72,0.659,0.625,4,-2.253,1,0.045,0.0644,0,0.582,0.442,88.042,audio_features,4hPpVbbakQNv8YTHYaOJP4,spotify:track:4hPpVbbakQNv8YTHYaOJP4,https://api.spotify.com/v1/tracks/4hPpVbbakQNv8YTHYaOJP4,https://api.spotify.com/v1/audio-analysis/4hPpVbbakQNv8YTHYaOJP4,181824,4
Woodlawn,Aminé,4FFC7McrnnwAWKbAqbckTP,51,0.784,0.586,10,-5.148,1,0.057,0.159,0,0.183,0.824,113.973,audio_features,4FFC7McrnnwAWKbAqbckTP,spotify:track:4FFC7McrnnwAWKbAqbckTP,https://api.spotify.com/v1/tracks/4FFC7McrnnwAWKbAqbckTP,https://api.spotify.com/v1/audio-analysis/4FFC7McrnnwAWKbAqbckTP,143153,4
Mind,Croosh,7rzd8zj9QFhpEfEUOeHoUB,18,0.815,0.564,1,-5.743,1,0.221,0.0502,0,0.113,0.758,150.066,audio_features,7rzd8zj9QFhpEfEUOeHoUB,spotify:track:7rzd8zj9QFhpEfEUOeHoUB,https://api.spotify.com/v1/tracks/7rzd8zj9QFhpEfEUOeHoUB,https://api.spotify.com/v1/audio-analysis/7rzd8zj9QFhpEfEUOeHoUB,169665,4
I Want It All,Futuristic,1RxwkmMgJS7l2VYCgJ8KMn,28,0.696,0.727,0,-7.133,1,0.048,0.0138,1.66E-06,0.271,0.122,123.963,audio_features,1RxwkmMgJS7l2VYCgJ8KMn,spotify:track:1RxwkmMgJS7l2VYCgJ8KMn,https://api.spotify.com/v1/tracks/1RxwkmMgJS7l2VYCgJ8KMn,https://api.spotify.com/v1/audio-analysis/1RxwkmMgJS7l2VYCgJ8KMn,213277,4
I Want It All,Devvon Terrell,1RxwkmMgJS7l2VYCgJ8KMn,28,0.696,0.727,0,-7.133,1,0.048,0.0138,1.66E-06,0.271,0.122,123.963,audio_features,1RxwkmMgJS7l2VYCgJ8KMn,spotify:track:1RxwkmMgJS7l2VYCgJ8KMn,https://api.spotify.com/v1/tracks/1RxwkmMgJS7l2VYCgJ8KMn,https://api.spotify.com/v1/audio-analysis/1RxwkmMgJS7l2VYCgJ8KMn,213277,4
BALI,Rich Brian,2XW3vH6ZqMHvlzUSfhWW2X,11,0.855,0.645,5,-6.321,0,0.0545,0.0107,0,0.226,0.654,129.999,audio_features,2XW3vH6ZqMHvlzUSfhWW2X,spotify:track:2XW3vH6ZqMHvlzUSfhWW2X,https://api.spotify.com/v1/tracks/2XW3vH6ZqMHvlzUSfhWW2X,https://api.spotify.com/v1/audio-analysis/2XW3vH6ZqMHvlzUSfhWW2X,199385,4
BALI,Guapdad 4000,2XW3vH6ZqMHvlzUSfhWW2X,11,0.855,0.645,5,-6.321,0,0.0545,0.0107,0,0.226,0.654,129.999,audio_features,2XW3vH6ZqMHvlzUSfhWW2X,spotify:track:2XW3vH6ZqMHvlzUSfhWW2X,https://api.spotify.com/v1/tracks/2XW3vH6ZqMHvlzUSfhWW2X,https://api.spotify.com/v1/audio-analysis/2XW3vH6ZqMHvlzUSfhWW2X,199385,4
